City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Hobart,AU,75.25,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
8,Feijo,BR,73.65,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
12,Sagua De Tanamo,CU,73.8,broken clouds,20.5819,-75.2414,
13,New Norfolk,AU,73.92,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
30,Arraial Do Cabo,BR,72.75,clear sky,-22.9661,-42.0278,Pousada Porto Praia
34,Bambous Virieux,MU,70.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
39,Rikitea,PF,71.02,overcast clouds,-23.1203,-134.9692,People ThankYou
42,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
58,Port-Gentil,GA,77.77,light rain,-0.7193,8.7815,Fengshui Residence
66,Jacareacanga,BR,74.26,broken clouds,-6.2222,-57.7528,Casa do Ian😎
67,Atuona,PF,77.23,clear sky,-9.8,-139.0333,Villa Enata
74,Carnarvon,AU,71.4,clear sky,-24.8667,113.6333,Hospitality Carnarvon
87,Canutama,BR,75.99,overcast clouds,-6.5339,-64.3831,Endereço Atual- Mauricio da Silva Lima
90,Belmonte,BR,73.56,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
93,Hasaki,JP,76.21,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
97,San Patricio,US,71.85,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
99,Grand Gaube,MU,70.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
101,Saint-Paul,RE,75.99,few clouds,-21.0096,55.2707,Boucan Canot
105,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
107,Mapiripan,CO,73.9,overcast clouds,2.8892,-72.1256,Monserrate
108,Qesarya,IL,71.53,scattered clouds,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
110,Tabuk,PH,75.38,moderate rain,17.4189,121.4443,Golden Berries Hotel and Convention
111,Boca Do Acre,BR,75.24,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
122,Broken Hill,AU,74.66,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
130,Mogadishu,SO,77.27,few clouds,2.0371,45.3438,Hotel Juba
134,Flinders,AU,70.88,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
150,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
151,Eyl,SO,77.22,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
152,Lashio,MM,77.23,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
155,Saint George,US,73.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
158,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
162,Rayagada,IN,75.97,clear sky,19.1667,83.4167,"Hotel Swagath, Rayagada"
163,Cape Coast,GH,77.11,few clouds,5.1053,-1.2466,Samrit Hotel
166,Sakakah,SA,72.97,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
169,Mwense,ZM,72.12,broken clouds,-10.3845,28.698,Mwense Council Guest House
170,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
192,Shimoda,JP,72.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
194,Garissa,KE,72.5,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
199,Isla Mujeres,MX,76.37,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
206,Birao,CF,73.02,overcast clouds,10.2849,22.7882,
