City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Bengkulu,ID,80.33,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
7,Hobart,AU,75.25,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
8,Feijo,BR,73.65,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
12,Sagua De Tanamo,CU,73.8,broken clouds,20.5819,-75.2414,
13,New Norfolk,AU,73.92,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
15,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
19,Ca Mau,VN,84.9,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
23,Cabo San Lucas,MX,81.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
24,Gambiran,ID,84.81,overcast clouds,-6.7988,111.4951,GUBUK KU
25,Bartica,GY,79.12,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
30,Arraial Do Cabo,BR,72.75,clear sky,-22.9661,-42.0278,Pousada Porto Praia
32,Mongo,TD,79.88,broken clouds,12.1844,18.693,Résidences du Programme FIDA
34,Bambous Virieux,MU,70.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
39,Rikitea,PF,71.02,overcast clouds,-23.1203,-134.9692,People ThankYou
42,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
43,Iracoubo,GF,79.54,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
50,Umm Kaddadah,SD,80.49,broken clouds,13.6017,26.6876,
51,Butaritari,KI,81.23,few clouds,3.0707,172.7902,Isles Sunset Lodge
52,Matara,LK,78.13,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
58,Port-Gentil,GA,77.77,light rain,-0.7193,8.7815,Fengshui Residence
61,Marawi,PH,82.9,overcast clouds,7.9986,124.2928,Derogongan Residence
63,Kahului,US,84.31,few clouds,20.8947,-156.47,Maui Seaside Hotel
65,Ouallam,NE,83.34,scattered clouds,14.3188,2.0866,
66,Jacareacanga,BR,74.26,broken clouds,-6.2222,-57.7528,Casa do Ian😎
67,Atuona,PF,77.23,clear sky,-9.8,-139.0333,Villa Enata
70,Dorado,PR,78.93,few clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
74,Carnarvon,AU,71.4,clear sky,-24.8667,113.6333,Hospitality Carnarvon
80,Sinnamary,GF,78.94,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
84,Naze,JP,79.72,few clouds,28.3667,129.4833,Shishime Hotel
87,Canutama,BR,75.99,overcast clouds,-6.5339,-64.3831,Endereço Atual- Mauricio da Silva Lima
89,Taganak,PH,84.34,overcast clouds,6.0833,118.3,Taganak
90,Belmonte,BR,73.56,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
93,Hasaki,JP,76.21,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
97,San Patricio,US,71.85,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
98,Bonfim,BR,78.28,scattered clouds,3.0833,-59.95,
99,Grand Gaube,MU,70.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
101,Saint-Paul,RE,75.99,few clouds,-21.0096,55.2707,Boucan Canot
105,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
107,Mapiripan,CO,73.9,overcast clouds,2.8892,-72.1256,Monserrate
108,Qesarya,IL,71.53,scattered clouds,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
110,Tabuk,PH,75.38,moderate rain,17.4189,121.4443,Golden Berries Hotel and Convention
