City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,41.52,75,100,5.75,overcast clouds
1,Deputatskiy,RU,69.3,139.9,0.7,94,36,6.55,scattered clouds
2,Hartford,US,41.7668,-72.7662,48.2,83,0,3.44,clear sky
3,Sinjai,ID,-5.1241,120.253,88.09,62,93,6.04,overcast clouds
4,Tuatapere,NZ,-46.1333,167.6833,51.24,50,62,6.76,broken clouds
5,Bengkulu,ID,-3.8004,102.2655,80.33,79,100,3.62,overcast clouds
6,Tarbagatay,RU,51.4803,107.3602,26.13,63,100,4.65,overcast clouds
7,Hobart,AU,-42.8794,147.3294,75.25,58,75,12.66,broken clouds
8,Feijo,BR,-8.1642,-70.3536,73.65,98,100,2.53,overcast clouds
9,East London,ZA,-33.0153,27.9116,65.37,79,77,2.86,broken clouds
10,Ushuaia,AR,-54.8,-68.3,42.46,45,20,2.3,few clouds
11,Bluff,NZ,-46.6,168.3333,49.69,53,87,11.25,overcast clouds
12,Sagua De Tanamo,CU,20.5819,-75.2414,73.8,94,67,2.57,broken clouds
13,New Norfolk,AU,-42.7826,147.0587,73.92,45,100,9.13,light rain
14,Saint-Augustin,CA,51.226,-58.6502,45.55,92,1,10.96,clear sky
15,Kapaa,US,22.0752,-159.319,78.78,77,100,6.91,light rain
16,Husavik,IS,66.0449,-17.3389,35.96,90,100,3.06,overcast clouds
17,Thompson,CA,55.7435,-97.8558,48.36,71,75,10.36,broken clouds
18,Padang,ID,-0.9492,100.3543,84.25,73,89,3.94,overcast clouds
19,Ca Mau,VN,9.1769,105.15,84.9,73,98,10.16,overcast clouds
20,Jumla,NP,29.2747,82.1838,52.75,52,0,2.15,clear sky
21,Puerto Ayora,EC,-0.7393,-90.3518,67.55,91,97,8.01,overcast clouds
22,Tasiilaq,GL,65.6145,-37.6368,35.76,98,100,4.14,light rain
23,Cabo San Lucas,MX,22.8909,-109.9124,81.61,76,9,7.0,clear sky
24,Gambiran,ID,-6.7988,111.4951,84.81,67,100,3.29,overcast clouds
25,Bartica,GY,6.4,-58.6167,79.12,95,96,2.04,overcast clouds
26,Luderitz,NA,-26.6481,15.1594,59.85,80,97,19.13,overcast clouds
27,Evensk,RU,61.95,159.2333,19.09,72,81,6.93,broken clouds
28,Oktyabrskoye,RU,43.0645,44.7417,42.94,93,100,8.95,mist
29,Taft,IR,31.7471,54.2088,57.15,23,0,2.3,clear sky
30,Arraial Do Cabo,BR,-22.9661,-42.0278,72.75,87,3,30.98,clear sky
